date,medicine_name,quantity_used,season,day_of_week,month
2025-05-29,Ibuprofen 400mg,12,Summer,3,5
2025-05-29,Zinc Tablets 20mg,7,Summer,3,5
2025-05-29,Multivitamin Complex,6,Summer,3,5
2025-05-29,Folic Acid 5mg,20,Summer,3,5
2025-05-29,Atorvastatin 10mg,14,Summer,3,5
2025-05-29,Levocetirizine 5mg,6,Summer,3,5
2025-05-29,Ranitidine 150mg,13,Summer,3,5
2025-05-29,Diclofenac Gel 30g,11,Summer,3,5
2025-05-29,ORS (Orange Flavor),52,Summer,3,5
2025-05-29,Dolo 650mg,25,Summer,3,5
2025-05-29,Erythromycin 250mg,4,Summer,3,5
2025-05-29,Montelukast 10mg,6,Summer,3,5
2025-05-29,Carbamazepine 200mg,5,Summer,3,5
2025-05-30,Paracetamol 650mg,16,Summer,4,5
2025-05-30,Cetirizine 10mg,11,Summer,4,5
2025-05-30,Amoxicillin 500mg,7,Summer,4,5
2025-05-30,Insulin Glargine 100IU,4,Summer,4,5
2025-05-30,Salbutamol Inhaler,2,Summer,4,5
2025-05-30,Phenytoin 100mg,6,Summer,4,5
2025-05-30,ORS (Oral Rehydration),78,Summer,4,5
2025-05-30,Cough Syrup 100ml,4,Summer,4,5
2025-05-30,Pantoprazole 40mg,22,Summer,4,5
2025-05-30,Metformin 500mg,12,Summer,4,5
2025-05-30,Amlodipine 5mg,16,Summer,4,5
2025-05-30,Azithromycin 500mg,5,Summer,4,5
2025-05-30,Ibuprofen 400mg,5,Summer,4,5
2025-05-30,Zinc Tablets 20mg,12,Summer,4,5
2025-05-30,Multivitamin Complex,14,Summer,4,5
2025-05-30,Folic Acid 5mg,16,Summer,4,5
2025-05-30,Atorvastatin 10mg,16,Summer,4,5
2025-05-30,Levocetirizine 5mg,6,Summer,4,5
2025-05-30,Ranitidine 150mg,17,Summer,4,5
2025-05-30,Diclofenac Gel 30g,9,Summer,4,5
2025-05-30,ORS (Orange Flavor),52,Summer,4,5
2025-05-30,Dolo 650mg,30,Summer,4,5
2025-05-30,Erythromycin 250mg,5,Summer,4,5
2025-05-30,Montelukast 10mg,5,Summer,4,5
2025-05-30,Carbamazepine 200mg,6,Summer,4,5
2025-05-31,Paracetamol 650mg,17,Summer,5,5
2025-05-31,Cetirizine 10mg,8,Summer,5,5
2025-05-31,Amoxicillin 500mg,11,Summer,5,5
2025-05-31,Insulin Glargine 100IU,6,Summer,5,5
2025-05-31,Salbutamol Inhaler,4,Summer,5,5
2025-05-31,Phenytoin 100mg,1,Summer,5,5
2025-05-31,ORS (Oral Rehydration),67,Summer,5,5
2025-05-31,Cough Syrup 100ml,6,Summer,5,5
2025-05-31,Pantoprazole 40mg,24,Summer,5,5
2025-05-31,Metformin 500mg,27,Summer,5,5
2025-05-31,Amlodipine 5mg,21,Summer,5,5
2025-05-31,Azithromycin 500mg,5,Summer,5,5
2025-05-31,Ibuprofen 400mg,3,Summer,5,5
2025-05-31,Zinc Tablets 20mg,8,Summer,5,5
2025-05-31,Multivitamin Complex,13,Summer,5,5
2025-05-31,Folic Acid 5mg,13,Summer,5,5
2025-05-31,Atorvastatin 10mg,11,Summer,5,5
2025-05-31,Levocetirizine 5mg,2,Summer,5,5
2025-05-31,Ranitidine 150mg,13,Summer,5,5
2025-05-31,Diclofenac Gel 30g,2,Summer,5,5
2025-05-31,ORS (Orange Flavor),41,Summer,5,5
2025-05-31,Dolo 650mg,18,Summer,5,5
2025-05-31,Erythromycin 250mg,4,Summer,5,5
2025-05-31,Montelukast 10mg,3,Summer,5,5
2025-05-31,Carbamazepine 200mg,4,Summer,5,5
2025-06-01,Paracetamol 650mg,44,Monsoon,6,6
2025-06-01,Cetirizine 10mg,20,Monsoon,6,6
2025-06-01,Amoxicillin 500mg,28,Monsoon,6,6
2025-06-01,Insulin Glargine 100IU,5,Monsoon,6,6
2025-06-01,Salbutamol Inhaler,5,Monsoon,6,6
2025-06-01,Phenytoin 100mg,2,Monsoon,6,6
2025-06-01,ORS (Oral Rehydration),32,Monsoon,6,6
2025-06-01,Cough Syrup 100ml,15,Monsoon,6,6
2025-06-01,Pantoprazole 40mg,9,Monsoon,6,6
2025-06-01,Metformin 500mg,19,Monsoon,6,6
2025-06-01,Amlodipine 5mg,13,Monsoon,6,6
2025-06-01,Azithromycin 500mg,8,Monsoon,6,6
2025-06-01,Ibuprofen 400mg,7,Monsoon,6,6
2025-06-01,Zinc Tablets 20mg,18,Monsoon,6,6
2025-06-01,Multivitamin Complex,10,Monsoon,6,6
2025-06-01,Folic Acid 5mg,21,Monsoon,6,6
2025-06-01,Atorvastatin 10mg,11,Monsoon,6,6
2025-06-01,Levocetirizine 5mg,8,Monsoon,6,6
2025-06-01,Ranitidine 150mg,17,Monsoon,6,6
2025-06-01,Diclofenac Gel 30g,6,Monsoon,6,6
2025-06-01,ORS (Orange Flavor),12,Monsoon,6,6
2025-06-01,Dolo 650mg,47,Monsoon,6,6
2025-06-01,Erythromycin 250mg,7,Monsoon,6,6
2025-06-01,Montelukast 10mg,4,Monsoon,6,6
2025-06-01,Carbamazepine 200mg,7,Monsoon,6,6
2025-06-02,Paracetamol 650mg,43,Monsoon,0,6
2025-06-02,Cetirizine 10mg,35,Monsoon,0,6
2025-06-02,Amoxicillin 500mg,19,Monsoon,0,6
2025-06-02,Insulin Glargine 100IU,6,Monsoon,0,6
2025-06-02,Salbutamol Inhaler,8,Monsoon,0,6
2025-06-02,Phenytoin 100mg,3,Monsoon,0,6
2025-06-02,ORS (Oral Rehydration),31,Monsoon,0,6
2025-06-02,Cough Syrup 100ml,17,Monsoon,0,6
2025-06-02,Pantoprazole 40mg,15,Monsoon,0,6
2025-06-02,Metformin 500mg,20,Monsoon,0,6
2025-06-02,Amlodipine 5mg,21,Monsoon,0,6
2025-06-02,Azithromycin 500mg,9,Monsoon,0,6
2025-06-02,Ibuprofen 400mg,14,Monsoon,0,6
2025-06-02,Zinc Tablets 20mg,25,Monsoon,0,6
2025-06-02,Multivitamin Complex,17,Monsoon,0,6
2025-06-02,Folic Acid 5mg,19,Monsoon,0,6
2025-06-02,Atorvastatin 10mg,15,Monsoon,0,6
2025-06-02,Levocetirizine 5mg,9,Monsoon,0,6
2025-06-02,Ranitidine 150mg,11,Monsoon,0,6
2025-06-02,Diclofenac Gel 30g,7,Monsoon,0,6
2025-06-02,ORS (Orange Flavor),25,Monsoon,0,6
2025-06-02,Dolo 650mg,50,Monsoon,0,6
2025-06-02,Erythromycin 250mg,18,Monsoon,0,6
2025-06-02,Montelukast 10mg,10,Monsoon,0,6
2025-06-02,Carbamazepine 200mg,7,Monsoon,0,6
2025-06-03,Paracetamol 650mg,36,Monsoon,1,6
2025-06-03,Cetirizine 10mg,28,Monsoon,1,6
2025-06-03,Amoxicillin 500mg,25,Monsoon,1,6
2025-06-03,Insulin Glargine 100IU,3,Monsoon,1,6
2025-06-03,Salbutamol Inhaler,8,Monsoon,1,6
2025-06-03,Phenytoin 100mg,2,Monsoon,1,6
2025-06-03,ORS (Oral Rehydration),31,Monsoon,1,6
2025-06-03,Cough Syrup 100ml,17,Monsoon,1,6
2025-06-03,Pantoprazole 40mg,16,Monsoon,1,6
2025-06-03,Metformin 500mg,13,Monsoon,1,6
2025-06-03,Amlodipine 5mg,14,Monsoon,1,6
2025-06-03,Azithromycin 500mg,6,Monsoon,1,6
2025-06-03,Ibuprofen 400mg,11,Monsoon,1,6
2025-06-03,Zinc Tablets 20mg,15,Monsoon,1,6
2025-06-03,Multivitamin Complex,11,Monsoon,1,6
2025-06-03,Folic Acid 5mg,14,Monsoon,1,6
2025-06-03,Atorvastatin 10mg,12,Monsoon,1,6
2025-06-03,Levocetirizine 5mg,17,Monsoon,1,6
2025-06-03,Ranitidine 150mg,13,Monsoon,1,6
2025-06-03,Diclofenac Gel 30g,2,Monsoon,1,6
2025-06-03,ORS (Orange Flavor),21,Monsoon,1,6
2025-06-03,Dolo 650mg,46,Monsoon,1,6
2025-06-03,Erythromycin 250mg,14,Monsoon,1,6
2025-06-03,Montelukast 10mg,9,Monsoon,1,6
2025-06-03,Carbamazepine 200mg,2,Monsoon,1,6
2025-06-04,Paracetamol 650mg,34,Monsoon,2,6
2025-06-04,Cetirizine 10mg,23,Monsoon,2,6
2025-06-04,Amoxicillin 500mg,31,Monsoon,2,6
2025-06-04,Insulin Glargine 100IU,4,Monsoon,2,6
2025-06-04,Salbutamol Inhaler,7,Monsoon,2,6
2025-06-04,Phenytoin 100mg,5,Monsoon,2,6
2025-06-04,ORS (Oral Rehydration),27,Monsoon,2,6
2025-06-04,Cough Syrup 100ml,13,Monsoon,2,6
2025-06-04,Pantoprazole 40mg,11,Monsoon,2,6
2025-06-04,Metformin 500mg,12,Monsoon,2,6
2025-06-04,Amlodipine 5mg,11,Monsoon,2,6
2025-06-04,Azithromycin 500mg,4,Monsoon,2,6
2025-06-04,Ibuprofen 400mg,12,Monsoon,2,6
2025-06-04,Zinc Tablets 20mg,26,Monsoon,2,6
2025-06-04,Multivitamin Complex,18,Monsoon,2,6
2025-06-04,Folic Acid 5mg,14,Monsoon,2,6
2025-06-04,Atorvastatin 10mg,3,Monsoon,2,6
2025-06-04,Levocetirizine 5mg,13,Monsoon,2,6
2025-06-04,Ranitidine 150mg,17,Monsoon,2,6
2025-06-04,Diclofenac Gel 30g,6,Monsoon,2,6
2025-06-04,ORS (Orange Flavor),21,Monsoon,2,6
2025-06-04,Dolo 650mg,54,Monsoon,2,6
2025-06-04,Erythromycin 250mg,11,Monsoon,2,6
2025-06-04,Montelukast 10mg,7,Monsoon,2,6
2025-06-04,Carbamazepine 200mg,5,Monsoon,2,6
2025-06-05,Paracetamol 650mg,42,Monsoon,3,6
2025-06-05,Cetirizine 10mg,30,Monsoon,3,6
2025-06-05,Amoxicillin 500mg,35,Monsoon,3,6
2025-06-05,Insulin Glargine 100IU,8,Monsoon,3,6
2025-06-05,Salbutamol Inhaler,7,Monsoon,3,6
2025-06-05,Phenytoin 100mg,2,Monsoon,3,6
2025-06-05,ORS (Oral Rehydration),34,Monsoon,3,6
2025-06-05,Cough Syrup 100ml,19,Monsoon,3,6
2025-06-05,Pantoprazole 40mg,13,Monsoon,3,6
2025-06-05,Metformin 500mg,14,Monsoon,3,6
2025-06-05,Amlodipine 5mg,12,Monsoon,3,6
2025-06-05,Azithromycin 500mg,8,Monsoon,3,6
2025-06-05,Ibuprofen 400mg,10,Monsoon,3,6
2025-06-05,Zinc Tablets 20mg,22,Monsoon,3,6
2025-06-05,Multivitamin Complex,13,Monsoon,3,6
2025-06-05,Folic Acid 5mg,14,Monsoon,3,6
2025-06-05,Atorvastatin 10mg,13,Monsoon,3,6
2025-06-05,Levocetirizine 5mg,6,Monsoon,3,6
2025-06-05,Ranitidine 150mg,13,Monsoon,3,6
2025-06-05,Diclofenac Gel 30g,2,Monsoon,3,6
2025-06-05,ORS (Orange Flavor),16,Monsoon,3,6
2025-06-05,Dolo 650mg,59,Monsoon,3,6
2025-06-05,Erythromycin 250mg,10,Monsoon,3,6
2025-06-05,Montelukast 10mg,11,Monsoon,3,6
2025-06-05,Carbamazepine 200mg,3,Monsoon,3,6
2025-06-06,Paracetamol 650mg,43,Monsoon,4,6
2025-06-06,Cetirizine 10mg,25,Monsoon,4,6
2025-06-06,Amoxicillin 500mg,29,Monsoon,4,6
2025-06-06,Insulin Glargine 100IU,4,Monsoon,4,6
2025-06-06,Salbutamol Inhaler,9,Monsoon,4,6
2025-06-06,Phenytoin 100mg,2,Monsoon,4,6
2025-06-06,ORS (Oral Rehydration),35,Monsoon,4,6
2025-06-06,Cough Syrup 100ml,6,Monsoon,4,6
2025-06-06,Pantoprazole 40mg,17,Monsoon,4,6
2025-06-06,Metformin 500mg,23,Monsoon,4,6
2025-06-06,Amlodipine 5mg,14,Monsoon,4,6
2025-06-06,Azithromycin 500mg,16,Monsoon,4,6
2025-06-06,Ibuprofen 400mg,7,Monsoon,4,6
2025-06-06,Zinc Tablets 20mg,28,Monsoon,4,6
2025-06-06,Multivitamin Complex,12,Monsoon,4,6
2025-06-06,Folic Acid 5mg,12,Monsoon,4,6
2025-06-06,Atorvastatin 10mg,8,Monsoon,4,6
2025-06-06,Levocetirizine 5mg,11,Monsoon,4,6
2025-06-06,Ranitidine 150mg,10,Monsoon,4,6
2025-06-06,Diclofenac Gel 30g,8,Monsoon,4,6
2025-06-06,ORS (Orange Flavor),15,Monsoon,4,6
2025-06-06,Dolo 650mg,38,Monsoon,4,6
2025-06-06,Erythromycin 250mg,10,Monsoon,4,6
2025-06-06,Montelukast 10mg,7,Monsoon,4,6
2025-06-06,Carbamazepine 200mg,1,Monsoon,4,6
2025-06-07,Paracetamol 650mg,45,Monsoon,5,6
2025-06-07,Cetirizine 10mg,25,Monsoon,5,6
2025-06-07,Amoxicillin 500mg,23,Monsoon,5,6
2025-06-07,Insulin Glargine 100IU,4,Monsoon,5,6
2025-06-07,Salbutamol Inhaler,8,Monsoon,5,6
2025-06-07,Phenytoin 100mg,3,Monsoon,5,6
2025-06-07,ORS (Oral Rehydration),39,Monsoon,5,6
2025-06-07,Cough Syrup 100ml,8,Monsoon,5,6
2025-06-07,Pantoprazole 40mg,17,Monsoon,5,6
2025-06-07,Metformin 500mg,23,Monsoon,5,6
2025-06-07,Amlodipine 5mg,25,Monsoon,5,6
2025-06-07,Azithromycin 500mg,11,Monsoon,5,6
2025-06-07,Ibuprofen 400mg,6,Monsoon,5,6
2025-06-07,Zinc Tablets 20mg,27,Monsoon,5,6
2025-06-07,Multivitamin Complex,8,Monsoon,5,6
2025-06-07,Folic Acid 5mg,12,Monsoon,5,6
2025-06-07,Atorvastatin 10mg,9,Monsoon,5,6
2025-06-07,Levocetirizine 5mg,9,Monsoon,5,6
2025-06-07,Ranitidine 150mg,17,Monsoon,5,6
2025-06-07,Diclofenac Gel 30g,5,Monsoon,5,6
2025-06-07,ORS (Orange Flavor),13,Monsoon,5,6
2025-06-07,Dolo 650mg,54,Monsoon,5,6
2025-06-07,Erythromycin 250mg,12,Monsoon,5,6
2025-06-07,Montelukast 10mg,4,Monsoon,5,6
2025-06-07,Carbamazepine 200mg,2,Monsoon,5,6
2025-06-08,Paracetamol 650mg,46,Monsoon,6,6
2025-06-08,Cetirizine 10mg,27,Monsoon,6,6
2025-06-08,Amoxicillin 500mg,18,Monsoon,6,6
2025-06-08,Insulin Glargine 100IU,4,Monsoon,6,6
2025-06-08,Salbutamol Inhaler,9,Monsoon,6,6
2025-06-08,Phenytoin 100mg,5,Monsoon,6,6
2025-06-08,ORS (Oral Rehydration),20,Monsoon,6,6
2025-06-08,Cough Syrup 100ml,8,Monsoon,6,6
2025-06-08,Pantoprazole 40mg,13,Monsoon,6,6
2025-06-08,Metformin 500mg,22,Monsoon,6,6
2025-06-08,Amlodipine 5mg,14,Monsoon,6,6
2025-06-08,Azithromycin 500mg,8,Monsoon,6,6
2025-06-08,Ibuprofen 400mg,9,Monsoon,6,6
2025-06-08,Zinc Tablets 20mg,30,Monsoon,6,6
2025-06-08,Multivitamin Complex,15,Monsoon,6,6
2025-06-08,Folic Acid 5mg,13,Monsoon,6,6
2025-06-08,Atorvastatin 10mg,15,Monsoon,6,6
2025-06-08,Levocetirizine 5mg,10,Monsoon,6,6
2025-06-08,Ranitidine 150mg,16,Monsoon,6,6
2025-06-08,Diclofenac Gel 30g,9,Monsoon,6,6
2025-06-08,ORS (Orange Flavor),13,Monsoon,6,6
2025-06-08,Dolo 650mg,75,Monsoon,6,6
2025-06-08,Erythromycin 250mg,15,Monsoon,6,6
2025-06-08,Montelukast 10mg,9,Monsoon,6,6
2025-06-08,Carbamazepine 200mg,5,Monsoon,6,6
2025-06-09,Paracetamol 650mg,39,Monsoon,0,6
2025-06-09,Cetirizine 10mg,17,Monsoon,0,6
2025-06-09,Amoxicillin 500mg,21,Monsoon,0,6
2025-06-09,Insulin Glargine 100IU,5,Monsoon,0,6
2025-06-09,Salbutamol Inhaler,8,Monsoon,0,6
2025-06-09,Phenytoin 100mg,1,Monsoon,0,6
2025-06-09,ORS (Oral Rehydration),19,Monsoon,0,6
2025-06-09,Cough Syrup 100ml,18,Monsoon,0,6
2025-06-09,Pantoprazole 40mg,10,Monsoon,0,6
2025-06-09,Metformin 500mg,26,Monsoon,0,6
2025-06-09,Amlodipine 5mg,14,Monsoon,0,6
2025-06-09,Azithromycin 500mg,7,Monsoon,0,6
2025-06-09,Ibuprofen 400mg,11,Monsoon,0,6
2025-06-09,Zinc Tablets 20mg,26,Monsoon,0,6
2025-06-09,Multivitamin Complex,14,Monsoon,0,6
2025-06-09,Folic Acid 5mg,9,Monsoon,0,6
2025-06-09,Atorvastatin 10mg,10,Monsoon,0,6
2025-06-09,Levocetirizine 5mg,7,Monsoon,0,6
2025-06-09,Ranitidine 150mg,18,Monsoon,0,6
2025-06-09,Diclofenac Gel 30g,7,Monsoon,0,6
2025-06-09,ORS (Orange Flavor),20,Monsoon,0,6
2025-06-09,Dolo 650mg,55,Monsoon,0,6
2025-06-09,Erythromycin 250mg,10,Monsoon,0,6
2025-06-09,Montelukast 10mg,14,Monsoon,0,6
2025-06-09,Carbamazepine 200mg,4,Monsoon,0,6
2025-06-10,Paracetamol 650mg,44,Monsoon,1,6
2025-06-10,Cetirizine 10mg,20,Monsoon,1,6
2025-06-10,Amoxicillin 500mg,15,Monsoon,1,6
2025-06-10,Insulin Glargine 100IU,7,Monsoon,1,6
2025-06-10,Salbutamol Inhaler,10,Monsoon,1,6
2025-06-10,Phenytoin 100mg,1,Monsoon,1,6
2025-06-10,ORS (Oral Rehydration),33,Monsoon,1,6
2025-06-10,Cough Syrup 100ml,10,Monsoon,1,6
2025-06-10,Pantoprazole 40mg,15,Monsoon,1,6
2025-06-10,Metformin 500mg,15,Monsoon,1,6
2025-06-10,Amlodipine 5mg,18,Monsoon,1,6
2025-06-10,Azithromycin 500mg,8,Monsoon,1,6
2025-06-10,Ibuprofen 400mg,11,Monsoon,1,6
2025-06-10,Zinc Tablets 20mg,17,Monsoon,1,6
2025-06-10,Multivitamin Complex,12,Monsoon,1,6
2025-06-10,Folic Acid 5mg,16,Monsoon,1,6
2025-06-10,Atorvastatin 10mg,12,Monsoon,1,6
2025-06-10,Levocetirizine 5mg,15,Monsoon,1,6
2025-06-10,Ranitidine 150mg,12,Monsoon,1,6
2025-06-10,Diclofenac Gel 30g,8,Monsoon,1,6
2025-06-10,ORS (Orange Flavor),20,Monsoon,1,6
2025-06-10,Dolo 650mg,55,Monsoon,1,6
2025-06-10,Erythromycin 250mg,12,Monsoon,1,6
2025-06-10,Montelukast 10mg,5,Monsoon,1,6
2025-06-10,Carbamazepine 200mg,4,Monsoon,1,6
2025-06-11,Paracetamol 650mg,36,Monsoon,2,6
2025-06-11,Cetirizine 10mg,21,Monsoon,2,6
2025-06-11,Amoxicillin 500mg,27,Monsoon,2,6
2025-06-11,Insulin Glargine 100IU,4,Monsoon,2,6
2025-06-11,Salbutamol Inhaler,2,Monsoon,2,6
2025-06-11,Phenytoin 100mg,3,Monsoon,2,6
2025-06-11,ORS (Oral Rehydration),28,Monsoon,2,6
2025-06-11,Cough Syrup 100ml,12,Monsoon,2,6
2025-06-11,Pantoprazole 40mg,19,Monsoon,2,6
2025-06-11,Metformin 500mg,18,Monsoon,2,6
2025-06-11,Amlodipine 5mg,16,Monsoon,2,6
2025-06-11,Azithromycin 500mg,11,Monsoon,2,6
2025-06-11,Ibuprofen 400mg,13,Monsoon,2,6
2025-06-11,Zinc Tablets 20mg,24,Monsoon,2,6
2025-06-11,Multivitamin Complex,11,Monsoon,2,6
2025-06-11,Folic Acid 5mg,13,Monsoon,2,6
2025-06-11,Atorvastatin 10mg,8,Monsoon,2,6
2025-06-11,Levocetirizine 5mg,16,Monsoon,2,6
2025-06-11,Ranitidine 150mg,21,Monsoon,2,6
2025-06-11,Diclofenac Gel 30g,6,Monsoon,2,6
2025-06-11,ORS (Orange Flavor),15,Monsoon,2,6
2025-06-11,Dolo 650mg,53,Monsoon,2,6
2025-06-11,Erythromycin 250mg,10,Monsoon,2,6
2025-06-11,Montelukast 10mg,15,Monsoon,2,6
2025-06-11,Carbamazepine 200mg,2,Monsoon,2,6
2025-06-12,Paracetamol 650mg,49,Monsoon,3,6
2025-06-12,Cetirizine 10mg,27,Monsoon,3,6
2025-06-12,Amoxicillin 500mg,24,Monsoon,3,6
2025-06-12,Insulin Glargine 100IU,4,Monsoon,3,6
2025-06-12,Salbutamol Inhaler,2,Monsoon,3,6
2025-06-12,Phenytoin 100mg,4,Monsoon,3,6
2025-06-12,ORS (Oral Rehydration),28,Monsoon,3,6
2025-06-12,Cough Syrup 100ml,11,Monsoon,3,6
2025-06-12,Pantoprazole 40mg,17,Monsoon,3,6
2025-06-12,Metformin 500mg,19,Monsoon,3,6
2025-06-12,Amlodipine 5mg,9,Monsoon,3,6
2025-06-12,Azithromycin 500mg,7,Monsoon,3,6
2025-06-12,Ibuprofen 400mg,7,Monsoon,3,6
2025-06-12,Zinc Tablets 20mg,21,Monsoon,3,6
2025-06-12,Multivitamin Complex,14,Monsoon,3,6
2025-06-12,Folic Acid 5mg,19,Monsoon,3,6
2025-06-12,Atorvastatin 10mg,9,Monsoon,3,6
2025-06-12,Levocetirizine 5mg,11,Monsoon,3,6
2025-06-12,Ranitidine 150mg,11,Monsoon,3,6
2025-06-12,Diclofenac Gel 30g,7,Monsoon,3,6
2025-06-12,ORS (Orange Flavor),17,Monsoon,3,6
2025-06-12,Dolo 650mg,58,Monsoon,3,6
2025-06-12,Erythromycin 250mg,11,Monsoon,3,6
2025-06-12,Montelukast 10mg,6,Monsoon,3,6
2025-06-12,Carbamazepine 200mg,4,Monsoon,3,6
2025-06-13,Paracetamol 650mg,37,Monsoon,4,6
2025-06-13,Cetirizine 10mg,25,Monsoon,4,6
2025-06-13,Amoxicillin 500mg,22,Monsoon,4,6
2025-06-13,Insulin Glargine 100IU,8,Monsoon,4,6
2025-06-13,Salbutamol Inhaler,8,Monsoon,4,6
2025-06-13,Phenytoin 100mg,1,Monsoon,4,6
2025-06-13,ORS (Oral Rehydration),24,Monsoon,4,6
2025-06-13,Cough Syrup 100ml,12,Monsoon,4,6
2025-06-13,Pantoprazole 40mg,5,Monsoon,4,6
2025-06-13,Metformin 500mg,21,Monsoon,4,6
2025-06-13,Amlodipine 5mg,7,Monsoon,4,6
2025-06-13,Azithromycin 500mg,9,Monsoon,4,6
2025-06-13,Ibuprofen 400mg,13,Monsoon,4,6
2025-06-13,Zinc Tablets 20mg,20,Monsoon,4,6
2025-06-13,Multivitamin Complex,10,Monsoon,4,6
2025-06-13,Folic Acid 5mg,16,Monsoon,4,6
2025-06-13,Atorvastatin 10mg,8,Monsoon,4,6
2025-06-13,Levocetirizine 5mg,11,Monsoon,4,6
